episode,total_reward,steps,epsilon,mean_step_reward,timestamp,current_lr
103,-23586.500000000025,1000,0.5967292370047992,-23.586499999999997,2025-09-09T20:30:52.667885,0.0001
104,-21768.999999999975,1000,0.5937455908197752,-21.769,2025-09-09T20:31:18.942634,0.0001
105,-38624.39999999999,1000,0.5907768628656763,-38.6244,2025-09-09T20:31:44.989501,0.0001
106,-18003.800000000014,1000,0.5878229785513479,-18.003800000000002,2025-09-09T20:32:12.374028,0.0001
107,-151065.30000000008,1000,0.5848838636585911,-151.06529999999998,2025-09-09T20:32:50.759647,0.0001
108,-30986.199999999928,1000,0.5819594443402982,-30.986199999999997,2025-09-09T20:33:18.076583,0.0001
109,-12326.900000000016,1000,0.5790496471185967,-12.326900000000002,2025-09-09T20:33:42.789840,0.0001
110,-128560.69999999976,1000,0.5761543988830038,-128.56070000000003,2025-09-09T20:34:20.981346,0.0001
111,-30057.79999999999,1000,0.5732736268885887,-30.057800000000004,2025-09-09T20:34:49.312830,0.0001
112,-13983.999999999984,1000,0.5704072587541458,-13.983999999999996,2025-09-09T20:35:14.784252,0.0001
113,-24036.200000000004,1000,0.567555222460375,-24.036199999999997,2025-09-09T20:35:43.018462,0.0001
114,-15723.60000000003,1000,0.5647174463480732,-15.723600000000003,2025-09-09T20:36:09.007144,0.0001
115,-31601.19999999999,1000,0.5618938591163328,-31.6012,2025-09-09T20:36:38.558709,0.0001
116,-31072.200000000063,1000,0.5590843898207511,-31.072200000000002,2025-09-09T20:37:06.485587,0.0001
117,-30764.200000000044,1000,0.5562889678716474,-30.764200000000002,2025-09-09T20:37:34.264891,0.0001
118,-13987.499999999993,1000,0.5535075230322891,-13.9875,2025-09-09T20:37:59.408584,0.0001
119,-14825.200000000012,1000,0.5507399854171277,-14.825199999999999,2025-09-09T20:38:23.904799,0.0001
120,-91231.89999999998,1000,0.547986285490042,-91.2319,2025-09-09T20:39:00.980181,0.0001
121,-18272.900000000005,1000,0.5452463540625918,-18.2729,2025-09-09T20:39:27.710915,0.0001
122,-18000.29999999999,1000,0.5425201222922789,-18.000300000000003,2025-09-09T20:39:51.849769,0.0001
123,-23049.000000000015,1000,0.5398075216808175,-23.049,2025-09-09T20:40:19.171411,0.0001
124,-18150.100000000006,1000,0.5371084840724134,-18.1501,2025-09-09T20:40:43.931305,0.0001
125,-17982.999999999975,1000,0.5344229416520513,-17.983,2025-09-09T20:41:12.398408,0.0001
126,-18699.199999999997,1000,0.531750826943791,-18.699199999999998,2025-09-09T20:41:37.864212,0.0001
127,-21235.00000000002,1000,0.5290920728090721,-21.235,2025-09-09T20:42:03.945859,0.0001
128,-72970.30000000003,1000,0.5264466124450268,-72.97030000000001,2025-09-09T20:42:31.414049,0.0001
129,-16652.100000000024,1000,0.5238143793828016,-16.652099999999997,2025-09-09T20:42:57.461934,0.0001
130,-14957.000000000005,1000,0.5211953074858876,-14.956999999999999,2025-09-09T20:43:23.616235,0.0001
131,-14017.600000000011,1000,0.5185893309484582,-14.0176,2025-09-09T20:43:48.959912,0.0001
132,-30332.300000000007,1000,0.5159963842937159,-30.332300000000004,2025-09-09T20:44:17.380963,0.0001
133,-27212.399999999965,1000,0.5134164023722473,-27.212400000000002,2025-09-09T20:44:44.642088,0.0001
134,-16167.400000000005,1000,0.510849320360386,-16.1674,2025-09-09T20:45:10.549794,0.0001
135,-26091.099999999988,1000,0.5082950737585841,-26.0911,2025-09-09T20:45:36.669924,0.0001
136,-10659.800000000028,1000,0.5057535983897912,-10.6598,2025-09-09T20:46:02.979452,0.0001
137,-136759.90000000005,1000,0.5032248303978422,-136.7599,2025-09-09T20:46:40.968028,0.0001
138,-36451.59999999998,1000,0.500708706245853,-36.451600000000006,2025-09-09T20:47:04.626380,0.0001
139,-19219.300000000007,1000,0.4982051627146237,-19.219300000000004,2025-09-09T20:48:54.686536,0.0001
140,-92179.10000000008,1000,0.49571413690105054,-92.1791,2025-09-09T20:49:22.853272,0.0001
141,-13507.099999999999,1000,0.4932355662165453,-13.507100000000003,2025-09-09T20:49:49.040662,0.0001
142,-12627.099999999997,1000,0.4907693883854626,-12.627100000000002,2025-09-09T20:50:12.102187,0.0001
143,-18910.500000000015,1000,0.4883155414435353,-18.9105,2025-09-09T20:50:37.549201,0.0001
144,-140194.8,1000,0.4858739637363176,-140.1948,2025-09-09T20:51:13.969370,0.0001
145,-18713.29999999999,1000,0.483444593917636,-18.713300000000004,2025-09-09T20:51:41.154265,0.0001
146,-39187.199999999975,1000,0.4810273709480478,-39.1872,2025-09-09T20:52:08.610651,0.0001
147,-52477.299999999996,1000,0.47862223409330756,-52.4773,2025-09-09T20:52:37.211025,0.0001
148,-89501.49999999985,1000,0.47622912292284103,-89.50149999999998,2025-09-09T20:53:07.914123,0.0001
149,-9899.499999999995,1000,0.4738479773082268,-9.8995,2025-09-09T20:53:31.943113,0.0001
150,-20295.600000000013,1000,0.47147873742168567,-20.295600000000004,2025-09-09T20:53:56.574470,0.0001
151,-108448.4,1000,0.46912134373457726,-108.44839999999999,2025-09-09T20:56:20.643480,0.0001
152,-15029.000000000042,1000,0.46677573701590436,-15.028999999999998,2025-09-09T20:56:47.426299,0.0001
153,-12111.199999999979,1000,0.46444185833082485,-12.1112,2025-09-09T20:57:12.452004,0.0001
154,-17123.50000000001,1000,0.46211964903917074,-17.1235,2025-09-09T20:57:38.753949,0.0001
155,-29505.199999999953,1000,0.4598090507939749,-29.505200000000002,2025-09-09T20:58:07.159203,0.0001
156,-28515.60000000002,1000,0.457510005540005,-28.5156,2025-09-09T20:58:34.455759,0.0001
157,-138867.1999999997,1000,0.45522245551230495,-138.86720000000003,2025-09-09T20:59:12.802653,0.0001
158,-46265.90000000004,1000,0.4529463432347434,-46.265899999999995,2025-09-09T21:00:56.659849,0.0001
159,-39918.50000000003,1000,0.4506816115185697,-39.9185,2025-09-09T21:01:24.399026,0.0001
160,-25568.300000000003,1000,0.4484282034609769,-25.568299999999997,2025-09-09T21:01:52.236355,0.0001
161,-23273.200000000004,1000,0.446186062443672,-23.273199999999996,2025-09-09T21:02:20.124750,0.0001
162,-136439.20000000022,1000,0.4439551321314536,-136.4392,2025-09-09T21:04:22.313502,0.0001
163,-39217.199999999975,1000,0.4417353564707963,-39.2172,2025-09-09T21:04:48.062158,0.0001
164,-124173.69999999953,1000,0.43952667968844233,-124.17370000000001,2025-09-09T21:05:23.638954,0.0001
165,-23717.300000000007,1000,0.43732904629000013,-23.717299999999998,2025-09-09T21:05:50.736432,0.0001
166,-19604.40000000001,1000,0.4351424010585501,-19.6044,2025-09-09T21:06:14.889901,0.0001
167,-181961.9000000009,1000,0.43296668905325736,-181.9619,2025-09-09T21:06:50.599762,0.0001
168,-20854.999999999985,1000,0.43080185560799106,-20.855000000000004,2025-09-09T21:07:14.814826,0.0001
169,-8559.100000000011,1000,0.4286478463299511,-8.559100000000003,2025-09-09T21:07:38.300794,0.0001
170,-11954.199999999983,1000,0.42650460709830135,-11.9542,2025-09-09T21:08:02.625713,0.0001
171,-28722.09999999997,1000,0.42437208406280985,-28.722099999999998,2025-09-09T21:08:28.670087,0.0001
172,-8457.599999999995,1000,0.4222502236424958,-8.457600000000001,2025-09-09T21:08:51.245885,0.0001
173,-27091.59999999998,1000,0.42013897252428334,-27.0916,2025-09-09T21:09:14.562603,0.0001
174,-88739.59999999985,1000,0.4180382776616619,-88.73960000000001,2025-09-09T21:09:42.834559,0.0001
175,-22165.499999999993,1000,0.4159480862733536,-22.1655,2025-09-09T21:10:10.383835,0.0001
176,-9915.100000000024,1000,0.41386834584198684,-9.915100000000002,2025-09-09T21:10:33.781687,0.0001
177,-58480.50000000006,1000,0.4117990041127769,-58.4805,2025-09-09T21:10:57.869987,0.0001
178,-10658.900000000001,1000,0.40974000909221303,-10.6589,2025-09-09T21:11:23.099127,0.0001
179,-10250.4,1000,0.40769130904675194,-10.250399999999999,2025-09-09T21:11:47.377594,0.0001
180,-33257.89999999997,1000,0.40565285250151817,-33.2579,2025-09-09T21:12:15.181594,0.0001
181,-16691.300000000007,1000,0.4036245882390106,-16.691300000000002,2025-09-09T21:12:43.166174,0.0001
182,-18948.59999999999,1000,0.4016064652978155,-18.9486,2025-09-09T21:13:11.100196,0.0001
183,-11663.200000000003,1000,0.3995984329713264,-11.663200000000002,2025-09-09T21:13:37.219265,0.0001
184,-26379.800000000003,1000,0.3976004408064698,-26.3798,2025-09-09T21:14:03.853701,0.0001
185,-18315.800000000032,1000,0.39561243860243744,-18.3158,2025-09-09T21:14:31.313251,0.0001
186,-9702.799999999997,1000,0.3936343764094253,-9.7028,2025-09-09T21:14:56.235570,0.0001
187,-12375.79999999999,1000,0.39166620452737816,-12.3758,2025-09-09T21:15:21.246970,0.0001
188,-29120.599999999962,1000,0.3897078735047413,-29.1206,2025-09-09T21:15:49.799477,0.0001
189,-16632.399999999972,1000,0.3877593341372176,-16.6324,2025-09-09T21:16:13.468416,0.0001
190,-11968.6,1000,0.3858205374665315,-11.968599999999999,2025-09-09T21:16:39.376369,0.0001
191,-114369.59999999996,1000,0.38389143477919885,-114.3696,2025-09-09T21:29:01.994821,0.0001
192,-15610.899999999992,1000,0.3819719776053028,-15.6109,2025-09-09T21:29:26.233784,0.0001
193,-11596.699999999993,1000,0.3800621177172763,-11.5967,2025-09-09T21:29:50.579070,0.0001
194,-14626.299999999937,1000,0.37816180712868996,-14.626299999999999,2025-09-09T21:30:15.522361,0.0001
195,-21448.899999999998,1000,0.37627099809304654,-21.448900000000002,2025-09-09T21:30:41.539074,0.0001
196,-34871.80000000002,1000,0.3743896431025813,-34.87179999999999,2025-09-09T21:31:07.876513,0.0001
197,-81547.39999999995,1000,0.37251769488706843,-81.54740000000001,2025-09-09T21:31:42.107716,0.0001
198,-24762.70000000003,1000,0.3706551064126331,-24.762700000000006,2025-09-09T21:32:06.465193,0.0001
199,-17420.1,1000,0.36880183088056995,-17.420099999999998,2025-09-09T21:32:30.883582,0.0001
200,-13731.699999999993,1000,0.3669578217261671,-13.7317,2025-09-09T21:32:58.800263,0.0001
